query,seed_ortholog,GOs
g442,EOY23230,"GO:0000070,GO:0000278,GO:0000280,GO:0000775,GO:0000776,GO:0000819,GO:0002376,GO:0002478,GO:0002495,GO:0002504,GO:0003674,GO:0003676,GO:0003677,GO:0003774,GO:0003777,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0005737,GO:0005819,GO:0005829,GO:0005856,GO:0005871,GO:0005875,GO:0006810,GO:0006890,GO:0006928,GO:0006996,GO:0007017,GO:0007018,GO:0007049,GO:0007059,GO:0007062,GO:0007080,GO:0008104,GO:0008150,GO:0008574,GO:0009987,GO:0015630,GO:0016043,GO:0016192,GO:0016462,GO:0016604,GO:0016607,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019882,GO:0019884,GO:0019886,GO:0022402,GO:0030705,GO:0031974,GO:0031981,GO:0032991,GO:0033036,GO:0042623,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0046907,GO:0048002,GO:0048193,GO:0048285,GO:0050000,GO:0051179,GO:0051234,GO:0051276,GO:0051303,GO:0051310,GO:0051640,GO:0051641,GO:0051649,GO:0051656,GO:0070013,GO:0071840,GO:0072686,GO:0097159,GO:0098687,GO:0098813,GO:0140014,GO:1901363,GO:1903047,GO:1990939"
g534,EOY23760,"GO:0003674,GO:0005215,GO:0005372,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006833,GO:0006855,GO:0007154,GO:0008150,GO:0008509,GO:0009605,GO:0009987,GO:0009991,GO:0010036,GO:0015075,GO:0015103,GO:0015105,GO:0015238,GO:0015250,GO:0015267,GO:0015318,GO:0015698,GO:0015700,GO:0015893,GO:0016020,GO:0016021,GO:0016328,GO:0022803,GO:0022804,GO:0022838,GO:0022857,GO:0031224,GO:0031226,GO:0031667,GO:0031668,GO:0031669,GO:0034220,GO:0035445,GO:0042044,GO:0042221,GO:0042493,GO:0044425,GO:0044459,GO:0044464,GO:0046685,GO:0046713,GO:0046715,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0070887,GO:0071496,GO:0071944,GO:0080029,GO:0098656,GO:0098660,GO:0098661"
g595,EOY22745,"GO:0000302,GO:0003674,GO:0003824,GO:0004550,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006165,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009117,GO:0009132,GO:0009636,GO:0009987,GO:0010035,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0019205,GO:0019637,GO:0033554,GO:0034599,GO:0034614,GO:0034641,GO:0035690,GO:0042221,GO:0042493,GO:0042542,GO:0044237,GO:0044238,GO:0044281,GO:0044464,GO:0046483,GO:0046677,GO:0046939,GO:0050896,GO:0051716,GO:0055086,GO:0070301,GO:0070887,GO:0071236,GO:0071704,GO:0097237,GO:1901360,GO:1901700,GO:1901701"
g114,EOY21688,"GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:1901360,GO:1901363"
g266,EOY23551,"GO:0003674,GO:0003824,GO:0004842,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016567,GO:0016740,GO:0019538,GO:0019787,GO:0032446,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0061630,GO:0061659,GO:0070647,GO:0071704,GO:0140096,GO:1901564"
g2648,EOY24702,"GO:0001505,GO:0003674,GO:0005488,GO:0005509,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005783,GO:0005789,GO:0007154,GO:0007165,GO:0008021,GO:0008150,GO:0009987,GO:0010646,GO:0012505,GO:0012506,GO:0016020,GO:0016021,GO:0019722,GO:0019932,GO:0023051,GO:0023052,GO:0030100,GO:0030133,GO:0030334,GO:0030336,GO:0030658,GO:0030659,GO:0030672,GO:0031090,GO:0031224,GO:0031410,GO:0031982,GO:0031984,GO:0032879,GO:0035556,GO:0040012,GO:0040013,GO:0042175,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044433,GO:0044444,GO:0044446,GO:0044456,GO:0044464,GO:0045202,GO:0045806,GO:0046872,GO:0046928,GO:0048167,GO:0048168,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0050789,GO:0050794,GO:0050804,GO:0050896,GO:0051046,GO:0051049,GO:0051051,GO:0051128,GO:0051129,GO:0051270,GO:0051271,GO:0051588,GO:0051716,GO:0055037,GO:0060341,GO:0060627,GO:0065007,GO:0065008,GO:0070382,GO:0080134,GO:0097458,GO:0097708,GO:0098588,GO:0098793,GO:0098805,GO:0098827,GO:0099177,GO:0099501,GO:0099503,GO:1902882,GO:1902883,GO:1903530,GO:2000145,GO:2000146"
g2743,EOY22869,"GO:0000793,GO:0000796,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0044815"
g2201,XP_006440809.1,"GO:0000003,GO:0000295,GO:0003006,GO:0003674,GO:0005215,GO:0005346,GO:0005347,GO:0005471,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005783,GO:0005789,GO:0006810,GO:0006811,GO:0006820,GO:0006839,GO:0006855,GO:0006862,GO:0006996,GO:0007005,GO:0007006,GO:0007275,GO:0008150,GO:0008509,GO:0008514,GO:0009791,GO:0009987,GO:0010154,GO:0012505,GO:0015075,GO:0015215,GO:0015216,GO:0015217,GO:0015238,GO:0015291,GO:0015297,GO:0015301,GO:0015605,GO:0015711,GO:0015748,GO:0015865,GO:0015866,GO:0015867,GO:0015868,GO:0015893,GO:0015931,GO:0015932,GO:0016020,GO:0016021,GO:0016043,GO:0019866,GO:0022414,GO:0022622,GO:0022804,GO:0022857,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0031984,GO:0032501,GO:0032502,GO:0034220,GO:0042175,GO:0042221,GO:0042493,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046902,GO:0048316,GO:0048364,GO:0048367,GO:0048608,GO:0048731,GO:0048856,GO:0050896,GO:0051179,GO:0051234,GO:0051503,GO:0055085,GO:0061024,GO:0061458,GO:0065007,GO:0065008,GO:0071702,GO:0071705,GO:0071840,GO:0090559,GO:0098656,GO:0098827,GO:0099402,GO:0099516,GO:1901264,GO:1901505,GO:1901679"
g2323,EOY25240,"GO:0000166,GO:0001664,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0004857,GO:0005095,GO:0005102,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005834,GO:0005886,GO:0007154,GO:0007165,GO:0007186,GO:0007187,GO:0007188,GO:0008150,GO:0009605,GO:0009607,GO:0009617,GO:0009719,GO:0009723,GO:0009725,GO:0009898,GO:0009987,GO:0010033,GO:0016020,GO:0016247,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019897,GO:0019898,GO:0023052,GO:0030234,GO:0030695,GO:0031234,GO:0031683,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032991,GO:0034260,GO:0035639,GO:0036094,GO:0042221,GO:0043086,GO:0043087,GO:0043167,GO:0043168,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044092,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0044877,GO:0048519,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051239,GO:0051336,GO:0051346,GO:0051704,GO:0051707,GO:0051716,GO:0060589,GO:0065007,GO:0065009,GO:0071944,GO:0097159,GO:0097367,GO:0098552,GO:0098562,GO:0098772,GO:0098796,GO:0098797,GO:1901265,GO:1901363,GO:1902494,GO:1905360,GO:2000026,GO:2000280"
g2382,Gorai.008G199000.1,"GO:0003674,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005753,GO:0008270,GO:0009507,GO:0009536,GO:0016020,GO:0016469,GO:0019866,GO:0030312,GO:0031090,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0032991,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045259,GO:0046872,GO:0046914,GO:0070013,GO:0071944,GO:0098796,GO:0098798,GO:0098800"
g2819,EOY25328,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0008150,GO:0009877,GO:0036377,GO:0042802,GO:0042803,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044403,GO:0044419,GO:0044424,GO:0044464,GO:0046983,GO:0051704"
g1687,EOY20728,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006950,GO:0006970,GO:0008150,GO:0008152,GO:0009628,GO:0009651,GO:0009987,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0072593"
g1326,Gorai.008G230600.1,"GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005773,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464"
g2494,EOY24640,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005856,GO:0005875,GO:0005886,GO:0015630,GO:0016020,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0071944"
g2012,EOY20614,"GO:0002682,GO:0002683,GO:0002831,GO:0002832,GO:0003674,GO:0005488,GO:0005515,GO:0005516,GO:0008150,GO:0031347,GO:0031348,GO:0032101,GO:0032102,GO:0043900,GO:0043901,GO:0045088,GO:0045824,GO:0048519,GO:0048583,GO:0048585,GO:0050776,GO:0050777,GO:0050789,GO:0065007,GO:0080134,GO:1900424,GO:1900425,GO:1902477,GO:1902478"
g109,EOY21662,"GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006810,GO:0008104,GO:0008150,GO:0008320,GO:0008565,GO:0009987,GO:0015031,GO:0015833,GO:0016043,GO:0022607,GO:0022857,GO:0022884,GO:0033036,GO:0034622,GO:0042886,GO:0042887,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0045184,GO:0051131,GO:0051179,GO:0051234,GO:0055085,GO:0065003,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:1904680"
g609,EOY22711,"GO:0003674,GO:0003824,GO:0004175,GO:0004197,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0010941,GO:0010942,GO:0016787,GO:0019538,GO:0043067,GO:0043068,GO:0043170,GO:0044238,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0065007,GO:0070011,GO:0071704,GO:0140096,GO:1901564"
g2865,EOY25434,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006950,GO:0006995,GO:0007154,GO:0008150,GO:0008324,GO:0008519,GO:0009267,GO:0009605,GO:0009987,GO:0009991,GO:0015075,GO:0015101,GO:0015203,GO:0015204,GO:0015291,GO:0015293,GO:0015489,GO:0015606,GO:0015695,GO:0015696,GO:0015840,GO:0015846,GO:0015847,GO:0015848,GO:0016020,GO:0016021,GO:0019755,GO:0022804,GO:0022857,GO:0031224,GO:0031226,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0034220,GO:0042594,GO:0042886,GO:0042887,GO:0043562,GO:0044425,GO:0044459,GO:0044464,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0071496,GO:0071702,GO:0071705,GO:0071918,GO:0071944,GO:0072488,GO:0098655,GO:1902047,GO:1903711"
g2010,EOY20620,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005749,GO:0016020,GO:0019866,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043495,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045257,GO:0045273,GO:0045281,GO:0045283,GO:0048046,GO:0070469,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1902494,GO:1990204"
g1545,EOY21928,"GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0007623,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009892,GO:0009987,GO:0010031,GO:0010467,GO:0010468,GO:0010556,GO:0010605,GO:0010629,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032501,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0048511,GO:0048519,GO:0050789,GO:0050794,GO:0050879,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2001141"
g2300,EOY25180,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009532,GO:0009534,GO:0009535,GO:0009536,GO:0009570,GO:0009579,GO:0010287,GO:0016020,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035"
g1639,EOY23890,"GO:0000428,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005667,GO:0016591,GO:0016592,GO:0030880,GO:0031974,GO:0031981,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0044798,GO:0055029,GO:0061695,GO:0070013,GO:0070847,GO:0090575,GO:1902494,GO:1990234"
g2713,EOY24862,"GO:0003674,GO:0003824,GO:0004721,GO:0004722,GO:0006464,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019538,GO:0036211,GO:0042578,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0140096,GO:1901564"
g2373,EOY22087,"GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006508,GO:0006807,GO:0006914,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0010494,GO:0016236,GO:0016579,GO:0019538,GO:0032386,GO:0032879,GO:0032991,GO:0034517,GO:0035770,GO:0035973,GO:0036211,GO:0036464,GO:0043021,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043412,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0050789,GO:0050794,GO:0051049,GO:0060341,GO:0060627,GO:0060628,GO:0061912,GO:0061919,GO:0065007,GO:0070646,GO:0070647,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1905538,GO:1990861,GO:1990904"
g554,Gorai.004G125500.1,"GO:0001101,GO:0002229,GO:0002239,GO:0003674,GO:0003824,GO:0004497,GO:0006082,GO:0006725,GO:0006950,GO:0006952,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009605,GO:0009607,GO:0009617,GO:0009620,GO:0009696,GO:0009719,GO:0009725,GO:0009751,GO:0009812,GO:0009813,GO:0009987,GO:0010033,GO:0010150,GO:0010817,GO:0014070,GO:0016054,GO:0016491,GO:0016705,GO:0016706,GO:0016709,GO:0016999,GO:0017001,GO:0017144,GO:0018958,GO:0019336,GO:0019439,GO:0019752,GO:0032501,GO:0032502,GO:0032787,GO:0033759,GO:0034785,GO:0042221,GO:0042440,GO:0042445,GO:0042447,GO:0042493,GO:0042537,GO:0042737,GO:0042742,GO:0043207,GO:0043436,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0046148,GO:0046244,GO:0046395,GO:0046677,GO:0048366,GO:0048367,GO:0048731,GO:0048827,GO:0048856,GO:0050896,GO:0051213,GO:0051552,GO:0051553,GO:0051704,GO:0051707,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:0072329,GO:0090693,GO:0098542,GO:0099402,GO:1901360,GO:1901361,GO:1901575,GO:1901576,GO:1901615,GO:1901616,GO:1901700"
